contract_id,address,static_severity,behavioral_score,correlation_score,fused_risk_score,triggered_rules,findings_matched,label
kg_7d0c398264c2,0xStealth0001,0.98,0.6152,0.0,0.6073,,,1
kg_8c2ebbd677b0,0xBenign0002,0.98,0.6145,0.0,0.6071,,,1
kg_cb3b1d1a0122,0xAdversary0009,0.98,0.6143,0.0,0.607,,,1
kg_d260612bd717,0xStealth0000,0.98,0.6138,0.0,0.6068,,,1
kg_d260612bd717,0xStealth0001,0.98,0.6134,0.0,0.6067,,,1
kg_4145f01120ea,0xBenign0002,0.98,0.6131,0.0,0.6066,,,1
kg_e4747c2afa8c,0xBenign0007,0.98,0.6129,0.0,0.6065,,,1
kg_cb3b1d1a0122,0xBenign0020,0.98,0.613,0.0,0.6065,,,1
kg_5b48b45c42ff,0xStealth0001,0.98,0.6122,0.0,0.6063,,,1
kg_eaaebcb18bf2,0xBenign0012,0.98,0.6121,0.0,0.6062,,,0
kg_d260612bd717,0xBenign0007,0.98,0.6119,0.0,0.6062,,,0
kg_d260612bd717,0xStealth0006,0.98,0.612,0.0,0.6062,,,0
kg_e4747c2afa8c,0xBenign0017,0.98,0.6118,0.0,0.6061,,,0
kg_68aa9db55f07,0xBenign0008,0.98,0.6117,0.0,0.6061,,,0
kg_7808cd544bf4,0xStealth0002,0.98,0.6118,0.0,0.6061,,,0
kg_59e2a243ff9b,0xStealth0004,0.98,0.6116,0.0,0.606,,,0
kg_5ed8e1877520,0xStealth0004,0.98,0.6099,0.0,0.6055,,,0
kg_5b48b45c42ff,0xBenign0003,0.98,0.6101,0.0,0.6055,,,0
kg_59e2a243ff9b,0xStealth0000,0.98,0.6095,0.0,0.6053,,,0
kg_b463f6306f54,0xBenign0010,0.98,0.609,0.0,0.6052,,,0
kg_7b7f1764c212,0xAdversary0002,0.8,0.8146,0.0,0.6051,,,0
kg_59e2a243ff9b,0xStealth0001,0.98,0.6084,0.0,0.6049,,,0
kg_01585b6ec1bb,0xStealth0000,0.98,0.6081,0.0,0.6048,,,0
kg_49a1d5c351b9,0xAdversary0008,0.8,0.8134,0.0,0.6047,,,0
kg_68aa9db55f07,0xNoisyBenign0001,0.98,0.6073,0.0,0.6046,,,0
kg_7d0c398264c2,0xAdversary0009,0.98,0.6069,0.0,0.6044,,,0
kg_5ed8e1877520,0xStealth0001,0.98,0.6052,0.0,0.6038,,,0
kg_63f378ce703f,0xBenign0010,0.98,0.604,0.0,0.6034,,,0
kg_b463f6306f54,0xBenign0005,0.98,0.6034,0.0,0.6032,,,0
kg_d260612bd717,0xStealth0004,0.98,0.6036,0.0,0.6032,,,0
kg_cb3b1d1a0122,0xStealth0004,0.98,0.6032,0.0,0.6031,,,0
kg_8c2ebbd677b0,0xStealth0006,0.98,0.6021,0.0,0.6028,,,0
kg_4219abdc067e,0xAdversary0005,0.8,0.6282,0.25,0.6024,CR5,FG3,0
kg_5ed8e1877520,0xStealth0006,0.98,0.6011,0.0,0.6024,,,0
kg_eaaebcb18bf2,0xStealth0005,0.98,0.6009,0.0,0.6023,,,0
kg_eaaebcb18bf2,0xAdversary0003,0.98,0.6002,0.0,0.6021,,,0
kg_4219abdc067e,0xAdversary0008,0.8,0.8058,0.0,0.602,,,0
kg_68aa9db55f07,0xNoisyBenign0005,0.98,0.5998,0.0,0.6019,,,0
kg_7808cd544bf4,0xStealth0000,0.98,0.5996,0.0,0.6019,,,0
kg_72e56082535d,0xAdversary0008,0.8,0.8053,0.0,0.6019,,,1
kg_5b48b45c42ff,0xAdversary0003,0.98,0.5992,0.0,0.6017,,,1
kg_7b7f1764c212,0xAdversary0008,0.8,0.8042,0.0,0.6015,,,1
kg_7808cd544bf4,0xStealth0001,0.98,0.5986,0.0,0.6015,,,1
kg_59e2a243ff9b,0xBenign0001,0.98,0.5981,0.0,0.6013,,,1
kg_49a1d5c351b9,0xAdversary0002,0.8,0.8037,0.0,0.6013,,,1
kg_63f378ce703f,0xAdversary0003,0.98,0.597,0.0,0.6009,,,1
kg_ebe6f9a7e97a,0xAdversary0002,0.8,0.802,0.0,0.6007,,,1
kg_b463f6306f54,0xBenign0013,0.98,0.5959,0.0,0.6006,,,1
kg_63f378ce703f,0xBenign0018,0.98,0.5955,0.0,0.6004,,,1
kg_b463f6306f54,0xBenign0007,0.98,0.595,0.0,0.6003,,,1
kg_68aa9db55f07,0xBenign0011,0.98,0.5944,0.0,0.6001,,,1
kg_cb3b1d1a0122,0xBenign0017,0.98,0.5944,0.0,0.6,,,1
kg_eaaebcb18bf2,0xAdversary0009,0.98,0.5941,0.0,0.5999,,,1
kg_4219abdc067e,0xAdversary0011,0.8,0.6208,0.25,0.5998,CR5,FG3,1
kg_5b48b45c42ff,0xStealth0005,0.98,0.5933,0.0,0.5996,,,1
kg_e4747c2afa8c,0xNoisyBenign0005,0.98,0.5928,0.0,0.5995,,,1
kg_5ed8e1877520,0xBenign0004,0.98,0.5926,0.0,0.5994,,,1
kg_59e2a243ff9b,0xStealth0002,0.98,0.5926,0.0,0.5994,,,1
kg_4a4bc45fd925,0xAdversary0002,0.8,0.7979,0.0,0.5993,,,1
kg_68aa9db55f07,0xBenign0020,0.98,0.5912,0.0,0.5989,,,0
kg_7d0c398264c2,0xStealth0007,0.98,0.5912,0.0,0.5989,,,0
kg_cb3b1d1a0122,0xBenign0000,0.98,0.5907,0.0,0.5987,,,0
kg_d260612bd717,0xStealth0002,0.98,0.59,0.0,0.5985,,,0
kg_de0a9f8c2bb3,0xAdversary0002,0.8,0.7955,0.0,0.5984,,,0
kg_e4747c2afa8c,0xBenign0009,0.98,0.5895,0.0,0.5983,,,0
kg_4219abdc067e,0xAdversary0002,0.8,0.7941,0.0,0.5979,,,0
kg_eaaebcb18bf2,0xBenign0013,0.98,0.5879,0.0,0.5978,,,0
kg_01585b6ec1bb,0xStealth0006,0.98,0.588,0.0,0.5978,,,0
kg_63f378ce703f,0xBenign0006,0.98,0.5879,0.0,0.5978,,,0
kg_01585b6ec1bb,0xStealth0002,0.98,0.5875,0.0,0.5976,,,0
kg_cb3b1d1a0122,0xStealth0007,0.98,0.5875,0.0,0.5976,,,0
kg_cb3b1d1a0122,0xBenign0003,0.98,0.5874,0.0,0.5976,,,0
kg_b463f6306f54,0xBenign0020,0.98,0.587,0.0,0.5975,,,0
kg_4a4bc45fd925,0xAdversary0008,0.8,0.793,0.0,0.5975,,,0
kg_eaaebcb18bf2,0xStealth0000,0.98,0.587,0.0,0.5974,,,0
kg_b463f6306f54,0xNoisyBenign0004,0.98,0.5866,0.0,0.5973,,,0
kg_59e2a243ff9b,0xBenign0000,0.98,0.5864,0.0,0.5972,,,0
kg_68aa9db55f07,0xBenign0017,0.98,0.5861,0.0,0.5971,,,0
kg_01585b6ec1bb,0xStealth0004,0.98,0.5854,0.0,0.5969,,,0
kg_68aa9db55f07,0xBenign0019,0.98,0.5847,0.0,0.5967,,,0
kg_68aa9db55f07,0xBenign0013,0.98,0.5846,0.0,0.5966,,,0
kg_7808cd544bf4,0xAdversary0004,0.98,0.5846,0.0,0.5966,,,0
kg_01585b6ec1bb,0xStealth0001,0.98,0.5842,0.0,0.5965,,,0
kg_7d0c398264c2,0xStealth0006,0.98,0.5837,0.0,0.5963,,,0
kg_63f378ce703f,0xBenign0003,0.98,0.5828,0.0,0.596,,,0
kg_e4747c2afa8c,0xBenign0019,0.98,0.5821,0.0,0.5957,,,0
kg_7808cd544bf4,0xStealth0006,0.98,0.5818,0.0,0.5956,,,0
kg_5b48b45c42ff,0xStealth0004,0.98,0.5813,0.0,0.5955,,,0
kg_63f378ce703f,0xBenign0008,0.98,0.5812,0.0,0.5954,,,0
kg_7808cd544bf4,0xAdversary0010,0.98,0.5811,0.0,0.5954,,,1
kg_68aa9db55f07,0xBenign0006,0.98,0.5808,0.0,0.5953,,,1
kg_e4747c2afa8c,0xBenign0012,0.98,0.5799,0.0,0.5949,,,1
kg_01585b6ec1bb,0xBenign0006,0.98,0.5795,0.0,0.5948,,,1
kg_68aa9db55f07,0xBenign0010,0.98,0.5777,0.0,0.5942,,,1
kg_7d0c398264c2,0xStealth0003,0.98,0.5778,0.0,0.5942,,,1
kg_e4747c2afa8c,0xBenign0000,0.98,0.5778,0.0,0.5942,,,1
kg_cb3b1d1a0122,0xBenign0009,0.98,0.5762,0.0,0.5937,,,1
kg_5b48b45c42ff,0xBenign0011,0.98,0.5757,0.0,0.5935,,,1
kg_63f378ce703f,0xBenign0014,0.98,0.5745,0.0,0.5931,,,1
kg_8c2ebbd677b0,0xBenign0014,0.98,0.5743,0.0,0.593,,,1
kg_8c2ebbd677b0,0xBenign0019,0.98,0.5743,0.0,0.593,,,1
kg_b463f6306f54,0xBenign0019,0.98,0.5741,0.0,0.5929,,,1
kg_59e2a243ff9b,0xAdversary0003,0.98,0.574,0.0,0.5929,,,1
kg_cb3b1d1a0122,0xBenign0019,0.98,0.5739,0.0,0.5929,,,1
kg_0a9aebf5e803,0xAdversary0008,0.8,0.7794,0.0,0.5928,,,1
kg_7808cd544bf4,0xBenign0013,0.98,0.5736,0.0,0.5928,,,1
kg_01585b6ec1bb,0xStealth0007,0.98,0.572,0.0,0.5922,,,1
kg_63f378ce703f,0xBenign0004,0.98,0.572,0.0,0.5922,,,1
kg_7d0c398264c2,0xBenign0005,0.98,0.5718,0.0,0.5921,,,1
kg_7d0c398264c2,0xStealth0005,0.98,0.5718,0.0,0.5921,,,0
kg_63f378ce703f,0xBenign0000,0.98,0.5714,0.0,0.592,,,0
kg_eaaebcb18bf2,0xBenign0020,0.98,0.5707,0.0,0.5917,,,0
kg_8c2ebbd677b0,0xAdversary0009,0.98,0.5705,0.0,0.5917,,,0
kg_5ed8e1877520,0xAdversary0004,0.98,0.5704,0.0,0.5916,,,0
kg_72e56082535d,0xAdversary0011,0.8,0.5974,0.25,0.5916,CR5,FG3,0
kg_5ed8e1877520,0xStealth0007,0.98,0.5701,0.0,0.5915,,,0
kg_63f378ce703f,0xAdversary0009,0.98,0.5699,0.0,0.5915,,,0
kg_7d0c398264c2,0xAdversary0004,0.98,0.5696,0.0,0.5914,,,0
kg_59e2a243ff9b,0xBenign0005,0.98,0.5695,0.0,0.5913,,,0
kg_68aa9db55f07,0xBenign0000,0.98,0.5694,0.0,0.5913,,,0
kg_4145f01120ea,0xStealth0004,0.98,0.5693,0.0,0.5913,,,0
kg_0a9aebf5e803,0xAdversary0006,0.8,0.5965,0.25,0.5913,CR5,FG3,0
kg_68aa9db55f07,0xBenign0012,0.98,0.5685,0.0,0.591,,,0
kg_7808cd544bf4,0xAdversary0009,0.98,0.5686,0.0,0.591,,,0
kg_7d0c398264c2,0xStealth0004,0.98,0.5676,0.0,0.5907,,,0
kg_4145f01120ea,0xBenign0008,0.98,0.5675,0.0,0.5906,,,0
kg_de0a9f8c2bb3,0xAdversary0000,0.8,0.5947,0.25,0.5906,CR5,FG3,0
kg_e4747c2afa8c,0xBenign0014,0.98,0.5674,0.0,0.5906,,,0
kg_4219abdc067e,0xAdversary0006,0.8,0.5947,0.25,0.5906,CR5,FG3,0
kg_eaaebcb18bf2,0xBenign0006,0.98,0.5671,0.0,0.5905,,,0
kg_63f378ce703f,0xAdversary0004,0.98,0.5663,0.0,0.5902,,,0
kg_4219abdc067e,0xStealth0006,0.8,0.7717,0.0,0.5901,,,0
kg_7808cd544bf4,0xStealth0004,0.98,0.5656,0.0,0.59,,,0
kg_e4747c2afa8c,0xBenign0002,0.98,0.5657,0.0,0.59,,,0
kg_4145f01120ea,0xStealth0003,0.98,0.5656,0.0,0.5899,,,0
kg_cb3b1d1a0122,0xBenign0005,0.98,0.5655,0.0,0.5899,,,0
kg_0a9aebf5e803,0xAdversary0011,0.8,0.5923,0.25,0.5898,CR5,FG3,0
kg_a0fec05e38bb,0xAdversary0008,0.8,0.7709,0.0,0.5898,,,0
kg_8c2ebbd677b0,0xStealth0007,0.98,0.5648,0.0,0.5897,,,0
kg_63f378ce703f,0xAdversary0010,0.98,0.5649,0.0,0.5897,,,1
kg_d260612bd717,0xBenign0009,0.98,0.5645,0.0,0.5896,,,1
kg_5ed8e1877520,0xBenign0008,0.98,0.5647,0.0,0.5896,,,1
kg_4145f01120ea,0xStealth0000,0.98,0.5644,0.0,0.5896,,,1
kg_4145f01120ea,0xBenign0007,0.98,0.5642,0.0,0.5895,,,1
kg_68aa9db55f07,0xBenign0004,0.98,0.5638,0.0,0.5893,,,1
kg_eaaebcb18bf2,0xBenign0004,0.98,0.5627,0.0,0.589,,,1
kg_59e2a243ff9b,0xBenign0007,0.98,0.5629,0.0,0.589,,,1
kg_4219abdc067e,0xAdversary0000,0.8,0.5898,0.25,0.5889,CR5,FG3,1
kg_7d0c398264c2,0xBenign0007,0.98,0.5626,0.0,0.5889,,,1
kg_68aa9db55f07,0xBenign0003,0.98,0.5624,0.0,0.5888,,,1
kg_5b48b45c42ff,0xBenign0009,0.98,0.5621,0.0,0.5887,,,1
kg_7808cd544bf4,0xBenign0019,0.98,0.5613,0.0,0.5885,,,1
kg_7d0c398264c2,0xStealth0000,0.98,0.5613,0.0,0.5885,,,1
kg_d260612bd717,0xBenign0010,0.98,0.5609,0.0,0.5883,,,1
kg_d260612bd717,0xBenign0003,0.98,0.5606,0.0,0.5882,,,1
kg_5b48b45c42ff,0xBenign0014,0.98,0.5599,0.0,0.5879,,,1
kg_ebe6f9a7e97a,0xAdversary0005,0.8,0.5869,0.25,0.5879,CR5,FG3,1
kg_01585b6ec1bb,0xStealth0003,0.98,0.5597,0.0,0.5879,,,1
kg_8c2ebbd677b0,0xAdversary0010,0.98,0.5589,0.0,0.5876,,,1
kg_0a9aebf5e803,0xAdversary0000,0.8,0.586,0.25,0.5876,CR5,FG3,0
kg_de0a9f8c2bb3,0xAdversary0005,0.8,0.5858,0.25,0.5875,CR5,FG3,0
kg_68aa9db55f07,0xBenign0007,0.98,0.5575,0.0,0.5871,,,0
kg_8c2ebbd677b0,0xBenign0009,0.98,0.5575,0.0,0.5871,,,0
kg_cb3b1d1a0122,0xBenign0018,0.98,0.5576,0.0,0.5871,,,0
kg_cb3b1d1a0122,0xBenign0002,0.98,0.5572,0.0,0.587,,,0
kg_ebe6f9a7e97a,0xAdversary0008,0.8,0.7627,0.0,0.587,,,0
kg_63f378ce703f,0xBenign0007,0.98,0.5562,0.0,0.5867,,,0
kg_4145f01120ea,0xStealth0006,0.98,0.5559,0.0,0.5866,,,0
kg_7b7f1764c212,0xAdversary0006,0.8,0.583,0.25,0.5866,CR5,FG3,0
kg_59e2a243ff9b,0xAdversary0004,0.98,0.5556,0.0,0.5865,,,0
kg_7d0c398264c2,0xBenign0018,0.98,0.5556,0.0,0.5864,,,0
kg_63f378ce703f,0xBenign0015,0.98,0.555,0.0,0.5862,,,0
kg_de0a9f8c2bb3,0xAdversary0008,0.8,0.7601,0.0,0.586,,,0
kg_59e2a243ff9b,0xBenign0002,0.98,0.5543,0.0,0.586,,,0
kg_8c2ebbd677b0,0xBenign0020,0.98,0.5543,0.0,0.586,,,0
kg_72e56082535d,0xAdversary0002,0.8,0.7601,0.0,0.586,,,0
kg_68aa9db55f07,0xNoisyBenign0008,0.98,0.5532,0.0,0.5856,,,0
kg_5ed8e1877520,0xBenign0012,0.98,0.553,0.0,0.5855,,,0
kg_850ce5cbe982,0xAdversary0011,0.8,0.5797,0.25,0.5854,CR5,FG3,0
kg_850ce5cbe982,0xAdversary0002,0.8,0.7574,0.0,0.5851,,,0
kg_e4747c2afa8c,0xBenign0011,0.98,0.5515,0.0,0.585,,,0
kg_cb3b1d1a0122,0xBenign0006,0.98,0.5515,0.0,0.585,,,0
kg_eaaebcb18bf2,0xBenign0010,0.98,0.5515,0.0,0.585,,,0
kg_59e2a243ff9b,0xBenign0019,0.98,0.5511,0.0,0.5849,,,0
kg_68aa9db55f07,0xAdversary0004,0.98,0.5512,0.0,0.5849,,,0
kg_e4747c2afa8c,0xNoisyBenign0003,0.98,0.5509,0.0,0.5848,,,0
kg_59e2a243ff9b,0xAdversary0010,0.98,0.5505,0.0,0.5847,,,0
kg_a0fec05e38bb,0xAdversary0006,0.8,0.5773,0.25,0.5846,CR5,FG3,0
kg_eaaebcb18bf2,0xBenign0011,0.98,0.5503,0.0,0.5846,,,0
kg_e4747c2afa8c,0xNoisyBenign0006,0.98,0.5503,0.0,0.5846,,,1
kg_49a1d5c351b9,0xAdversary0005,0.8,0.5772,0.25,0.5845,CR5,FG3,1
kg_de0a9f8c2bb3,0xAdversary0006,0.8,0.5772,0.25,0.5845,CR5,FG3,1
kg_4a4bc45fd925,0xAdversary0005,0.8,0.577,0.25,0.5845,CR5,FG3,1
kg_68aa9db55f07,0xBenign0001,0.98,0.5498,0.0,0.5844,,,1
kg_8c2ebbd677b0,0xAdversary0003,0.98,0.5488,0.0,0.5841,,,1
kg_eaaebcb18bf2,0xBenign0002,0.98,0.5484,0.0,0.5839,,,1
kg_850ce5cbe982,0xAdversary0006,0.8,0.5748,0.25,0.5837,CR5,FG3,1
kg_cb3b1d1a0122,0xBenign0004,0.98,0.5477,0.0,0.5837,,,1
kg_5b48b45c42ff,0xBenign0000,0.98,0.5477,0.0,0.5837,,,1
kg_e4747c2afa8c,0xAdversary0004,0.98,0.5474,0.0,0.5836,,,1
kg_01585b6ec1bb,0xBenign0003,0.98,0.5469,0.0,0.5834,,,1
kg_eaaebcb18bf2,0xBenign0001,0.98,0.5469,0.0,0.5834,,,1
kg_8c2ebbd677b0,0xBenign0017,0.98,0.5466,0.0,0.5833,,,1
kg_01585b6ec1bb,0xAdversary0004,0.98,0.5459,0.0,0.5831,,,1
kg_36cce373c38e,0xAdversary0005,0.8,0.5729,0.25,0.583,CR5,FG3,1
kg_5b48b45c42ff,0xBenign0001,0.98,0.5457,0.0,0.583,,,1
kg_d260612bd717,0xBenign0002,0.98,0.5454,0.0,0.5829,,,1
kg_7d0c398264c2,0xBenign0002,0.98,0.5455,0.0,0.5829,,,1
kg_59e2a243ff9b,0xBenign0012,0.98,0.5448,0.0,0.5827,,,1
kg_4145f01120ea,0xStealth0001,0.98,0.544,0.0,0.5824,,,0
kg_a0fec05e38bb,0xAdversary0011,0.8,0.5711,0.25,0.5824,CR5,FG3,0
kg_5b48b45c42ff,0xBenign0005,0.98,0.5434,0.0,0.5822,,,0
kg_36cce373c38e,0xAdversary0006,0.8,0.5706,0.25,0.5822,CR5,FG3,0
kg_8c2ebbd677b0,0xBenign0018,0.98,0.5425,0.0,0.5819,,,0
kg_ebe6f9a7e97a,0xAdversary0000,0.8,0.5692,0.25,0.5817,CR5,FG3,0
kg_a0fec05e38bb,0xAdversary0000,0.8,0.5689,0.25,0.5816,CR5,FG3,0
kg_5b48b45c42ff,0xBenign0016,0.98,0.5415,0.0,0.5815,,,0
kg_7d0c398264c2,0xBenign0012,0.98,0.5415,0.0,0.5815,,,0
kg_01585b6ec1bb,0xBenign0010,0.98,0.541,0.0,0.5814,,,0
kg_d260612bd717,0xBenign0013,0.98,0.5413,0.0,0.5814,,,0
kg_d260612bd717,0xBenign0011,0.98,0.5412,0.0,0.5814,,,0
kg_5ed8e1877520,0xAdversary0010,0.98,0.5405,0.0,0.5812,,,0
kg_59e2a243ff9b,0xBenign0013,0.98,0.5405,0.0,0.5812,,,0
kg_850ce5cbe982,0xAdversary0005,0.8,0.5679,0.25,0.5812,CR5,FG3,0
kg_b463f6306f54,0xNoisyBenign0006,0.98,0.5404,0.0,0.5811,,,0
kg_49a1d5c351b9,0xAdversary0006,0.8,0.5673,0.25,0.5811,CR5,FG3,0
kg_68aa9db55f07,0xNoisyBenign0004,0.98,0.5403,0.0,0.5811,,,0
kg_d260612bd717,0xBenign0018,0.98,0.5399,0.0,0.581,,,0
kg_cb3b1d1a0122,0xBenign0008,0.98,0.5397,0.0,0.5809,,,0
kg_59e2a243ff9b,0xBenign0015,0.98,0.5398,0.0,0.5809,,,0
kg_5b48b45c42ff,0xBenign0013,0.98,0.5395,0.0,0.5808,,,0
kg_7d0c398264c2,0xBenign0013,0.98,0.5395,0.0,0.5808,,,0
kg_d260612bd717,0xBenign0020,0.98,0.5391,0.0,0.5807,,,0
kg_8c2ebbd677b0,0xBenign0000,0.98,0.5388,0.0,0.5806,,,0
kg_7d0c398264c2,0xBenign0016,0.98,0.539,0.0,0.5806,,,0
kg_d260612bd717,0xBenign0016,0.98,0.538,0.0,0.5803,,,0
kg_d260612bd717,0xBenign0000,0.98,0.5381,0.0,0.5803,,,0
kg_4145f01120ea,0xBenign0019,0.98,0.538,0.0,0.5803,,,0
kg_b463f6306f54,0xAdversary0004,0.98,0.5372,0.0,0.58,,,0
kg_8c2ebbd677b0,0xBenign0016,0.98,0.5371,0.0,0.58,,,1
kg_59e2a243ff9b,0xBenign0006,0.98,0.537,0.0,0.5799,,,1
kg_b463f6306f54,0xBenign0003,0.98,0.5367,0.0,0.5798,,,1
kg_01585b6ec1bb,0xBenign0007,0.98,0.5366,0.0,0.5798,,,1
kg_7808cd544bf4,0xStealth0005,0.98,0.5364,0.0,0.5798,,,1
kg_68aa9db55f07,0xAdversary0010,0.98,0.5361,0.0,0.5796,,,1
kg_5b48b45c42ff,0xBenign0020,0.98,0.5356,0.0,0.5795,,,1
kg_59e2a243ff9b,0xBenign0018,0.98,0.5354,0.0,0.5794,,,1
kg_7d0c398264c2,0xBenign0001,0.98,0.5351,0.0,0.5793,,,1
kg_850ce5cbe982,0xAdversary0000,0.8,0.5622,0.25,0.5793,CR5,FG3,1
kg_63f378ce703f,0xBenign0012,0.98,0.5348,0.0,0.5792,,,1
kg_d260612bd717,0xBenign0008,0.98,0.5345,0.0,0.5791,,,1
kg_4145f01120ea,0xBenign0017,0.98,0.5342,0.0,0.579,,,1
kg_63f378ce703f,0xBenign0002,0.98,0.5341,0.0,0.5789,,,1
kg_d260612bd717,0xBenign0006,0.98,0.5339,0.0,0.5789,,,1
kg_cb3b1d1a0122,0xBenign0001,0.98,0.5338,0.0,0.5788,,,1
kg_5b48b45c42ff,0xAdversary0010,0.98,0.5334,0.0,0.5787,,,1
kg_eaaebcb18bf2,0xAdversary0010,0.98,0.5332,0.0,0.5786,,,1
kg_4145f01120ea,0xBenign0018,0.98,0.5331,0.0,0.5786,,,1
kg_7b7f1764c212,0xAdversary0011,0.8,0.56,0.25,0.5785,CR5,FG3,1
kg_68aa9db55f07,0xNoisyBenign0002,0.98,0.5329,0.0,0.5785,,,0
kg_63f378ce703f,0xBenign0001,0.98,0.5326,0.0,0.5784,,,0
kg_5b48b45c42ff,0xBenign0012,0.98,0.5321,0.0,0.5782,,,0
kg_5ed8e1877520,0xBenign0010,0.98,0.5317,0.0,0.5781,,,0
kg_72e56082535d,0xAdversary0005,0.8,0.5587,0.25,0.578,CR5,FG3,0
kg_5b48b45c42ff,0xBenign0004,0.98,0.5311,0.0,0.5779,,,0
kg_5b48b45c42ff,0xBenign0010,0.98,0.5313,0.0,0.5779,,,0
kg_5ed8e1877520,0xBenign0002,0.98,0.5312,0.0,0.5779,,,0
kg_ebe6f9a7e97a,0xAdversary0006,0.8,0.5577,0.25,0.5777,CR5,FG3,0
kg_8c2ebbd677b0,0xBenign0005,0.98,0.5302,0.0,0.5776,,,0
kg_7808cd544bf4,0xBenign0007,0.98,0.53,0.0,0.5775,,,0
kg_eaaebcb18bf2,0xBenign0003,0.98,0.5294,0.0,0.5773,,,0
kg_59e2a243ff9b,0xBenign0016,0.98,0.5293,0.0,0.5772,,,0
kg_7d0c398264c2,0xBenign0019,0.98,0.5285,0.0,0.577,,,0
kg_5ed8e1877520,0xBenign0005,0.98,0.5283,0.0,0.5769,,,0
kg_01585b6ec1bb,0xStealth0005,0.98,0.5279,0.0,0.5768,,,0
kg_01585b6ec1bb,0xBenign0001,0.98,0.528,0.0,0.5768,,,0
kg_cb3b1d1a0122,0xBenign0013,0.98,0.528,0.0,0.5768,,,0
kg_d260612bd717,0xAdversary0010,0.98,0.5271,0.0,0.5765,,,0
kg_eaaebcb18bf2,0xAdversary0004,0.98,0.5271,0.0,0.5765,,,0
kg_cb3b1d1a0122,0xBenign0007,0.98,0.5268,0.0,0.5764,,,0
kg_a0fec05e38bb,0xAdversary0005,0.8,0.5538,0.25,0.5763,CR5,FG3,0
kg_d260612bd717,0xBenign0015,0.98,0.5261,0.0,0.5761,,,0
kg_b463f6306f54,0xNoisyBenign0007,0.98,0.5261,0.0,0.5761,,,0
kg_72e56082535d,0xAdversary0006,0.8,0.5532,0.25,0.5761,CR5,FG3,0
kg_7808cd544bf4,0xBenign0017,0.98,0.5257,0.0,0.576,,,0
kg_59e2a243ff9b,0xBenign0004,0.98,0.5249,0.0,0.5757,,,0
kg_7d0c398264c2,0xAdversary0010,0.98,0.5243,0.0,0.5755,,,0
kg_cb3b1d1a0122,0xBenign0014,0.98,0.5244,0.0,0.5755,,,0
kg_4a4bc45fd925,0xAdversary0011,0.8,0.551,0.25,0.5754,CR5,FG3,0
kg_4145f01120ea,0xAdversary0004,0.98,0.5237,0.0,0.5753,,,1
kg_01585b6ec1bb,0xBenign0002,0.98,0.5233,0.0,0.5752,,,1
kg_850ce5cbe982,0xBenign0004,0.8,0.7287,0.0,0.5751,,,1
kg_cb3b1d1a0122,0xBenign0015,0.98,0.5232,0.0,0.5751,,,1
kg_36cce373c38e,0xAdversary0011,0.8,0.5502,0.25,0.5751,CR5,FG3,1
kg_d260612bd717,0xBenign0012,0.98,0.5221,0.0,0.5747,,,1
kg_0a9aebf5e803,0xAdversary0005,0.8,0.5492,0.25,0.5747,CR5,FG3,1
kg_e4747c2afa8c,0xNoisyBenign0008,0.98,0.5221,0.0,0.5747,,,1
kg_eaaebcb18bf2,0xNoisyBenign0005,0.98,0.5219,0.0,0.5747,,,1
kg_4219abdc067e,0xStealth0000,0.8,0.7274,0.0,0.5746,,,1
kg_de0a9f8c2bb3,0xAdversary0011,0.8,0.5487,0.25,0.5745,CR5,FG3,1
kg_7b7f1764c212,0xAdversary0005,0.8,0.5486,0.25,0.5745,CR5,FG3,1
kg_e4747c2afa8c,0xNoisyBenign0001,0.98,0.5208,0.0,0.5743,,,1
kg_cb3b1d1a0122,0xBenign0010,0.98,0.5206,0.0,0.5742,,,1
kg_7d0c398264c2,0xBenign0017,0.98,0.5206,0.0,0.5742,,,1
kg_ebe6f9a7e97a,0xAdversary0011,0.8,0.5474,0.25,0.5741,CR5,FG3,1
kg_d260612bd717,0xBenign0017,0.98,0.5202,0.0,0.5741,,,1
kg_d260612bd717,0xBenign0005,0.98,0.5199,0.0,0.574,,,1
kg_8c2ebbd677b0,0xBenign0006,0.98,0.519,0.0,0.5737,,,1
kg_63f378ce703f,0xBenign0017,0.98,0.5187,0.0,0.5736,,,1
kg_63f378ce703f,0xBenign0013,0.98,0.5188,0.0,0.5736,,,0
kg_4145f01120ea,0xBenign0001,0.98,0.5182,0.0,0.5734,,,0
kg_4145f01120ea,0xAdversary0010,0.98,0.5182,0.0,0.5734,,,0
kg_8c2ebbd677b0,0xBenign0001,0.98,0.5183,0.0,0.5734,,,0
kg_b463f6306f54,0xNoisyBenign0002,0.98,0.5176,0.0,0.5732,,,0
kg_eaaebcb18bf2,0xBenign0000,0.98,0.5176,0.0,0.5732,,,0
kg_5b48b45c42ff,0xBenign0017,0.98,0.5175,0.0,0.5731,,,0
kg_4145f01120ea,0xBenign0011,0.98,0.5172,0.0,0.573,,,0
kg_4145f01120ea,0xBenign0020,0.98,0.5162,0.0,0.5727,,,0
kg_7b7f1764c212,0xAdversary0000,0.8,0.5435,0.25,0.5727,CR5,FG3,0
kg_49a1d5c351b9,0xAdversary0011,0.8,0.5428,0.25,0.5725,CR5,FG3,0
kg_b463f6306f54,0xNoisyBenign0001,0.98,0.5152,0.0,0.5723,,,0
